,word,score,frequency,feature_proportion,eojeol_proportion,josa_variety,unique_josa_proportion
0,전기,0.8712155647058825,1028,0.10480887792848335,0.21108949416342412,7,0.6363636363636364
1,수요자,0.8268948611111111,176,0.23529411764705882,0.13068181818181818,8,0.8
2,참여형,0.999725,8,1.0,0.75,1,1.0
3,화학공장,0.9998136666666667,4,1.0,0.25,2,1.0
4,181명,0.9995090000000001,5,1.0,0.0,2,1.0
5,디지털미디어본부,0.0,30,0.0,1.0,0,0.0
6,광고계에서,0.505755,10,1.0,0.9,1,1.0
7,수혜지,0.99883,10,0.7777777777777778,0.1,1,1.0
8,식수,0.9992800000000001,25,0.6666666666666666,0.4,4,1.0
9,최고위,0.6664713333333333,130,0.02459016393442623,0.06153846153846154,1,0.5
10,공산주의자,0.9788633333333333,3,1.0,0.0,3,1.0
11,치유마을,0.599511,8,1.0,0.375,1,0.5
12,좌익,0.999819,14,0.2857142857142857,0.5,2,1.0
13,공인중개소,0.999707,7,1.0,0.8571428571428571,1,1.0
14,곡소리,0.9889381666666668,6,1.0,0.0,4,1.0
15,호텔리어,0.999736,5,1.0,0.6,2,1.0
16,목욕,0.6597758947368421,60,0.34545454545454546,0.08333333333333333,4,1.0
17,자부,0.6980238235294118,139,0.1223021582733813,0.0,7,0.875
18,대양,0.6995574,12,0.5555555555555556,0.25,4,0.8
19,과천향교,0.999605,3,1.0,0.6666666666666666,1,1.0
20,국가채무,0.6650407333333334,26,0.7894736842105263,0.2692307692307692,2,0.6666666666666666
21,본선작,0.999185,6,1.0,0.8333333333333334,1,1.0
22,김아,0.706968,108,0.018518518518518517,0.0,1,1.0
23,애환,0.6583745862068965,31,0.9354838709677419,0.0,5,1.0
24,주요기관으로,1.0,3,1.0,0.0,1,1.0
25,갈칫값,0.9991850000000001,6,1.0,0.0,1,1.0
26,타이완,0.505755,24,0.05,0.16666666666666666,1,1.0
27,28,0.28784225,1124,0.024968789013732832,0.2873665480427046,2,0.3333333333333333
28,대한제국,0.9056447027027027,77,0.925,0.4805194805194805,5,0.7142857142857143
29,보수단체,0.9687735000000001,4,1.0,0.0,3,1.0
30,유채,0.995013125,73,0.23880597014925373,0.0821917808219178,2,1.0
31,군사표준,0.0,22,0.0,1.0,0,0.0
32,거울연못,0.9997070000000001,50,1.0,0.0,1,1.0
33,문정,1.0,49,0.047619047619047616,0.14285714285714285,1,1.0
34,한도,0.8592626620689655,222,0.8841463414634146,0.26126126126126126,8,0.6666666666666666
35,견본,0.7519545,103,0.019801980198019802,0.019417475728155338,2,1.0
36,포천고속도로,0.9990226666666667,3,1.0,0.0,2,1.0
37,씨에스윈드,0.93776,4,1.0,0.75,1,1.0
38,친문계,0.9984276666666667,11,1.0,0.45454545454545453,3,1.0
39,동서횡단철도,0.504724,3,1.0,0.6666666666666666,1,1.0
40,612,0.951425,30,0.037037037037037035,0.1,1,1.0
41,236억원,0.9995906666666666,3,1.0,0.0,3,1.0
42,노인,0.7750495166666667,377,0.43636363636363634,0.27055702917771884,15,0.8823529411764706
43,학생인권,0.7523185,29,0.08,0.13793103448275862,2,1.0
44,3000명,0.842141409090909,41,1.0,0.4634146341463415,6,1.0
45,시옹오,0.872835125,55,1.0,0.5636363636363636,3,0.75
46,스타투데,0.999185,198,1.0,0.0,1,1.0
47,2026년,0.999772,7,1.0,0.8571428571428571,1,1.0
48,상주인력,0.6036161999999999,5,1.0,0.0,2,1.0
49,강원지역,0.999867,30,0.3333333333333333,0.8,1,1.0
50,50개사,0.999736,3,1.0,0.3333333333333333,2,1.0
51,옥정지구,0.5998294000000001,22,1.0,0.7727272727272727,2,0.6666666666666666
52,속앓이,0.8349883333333333,3,1.0,0.0,2,1.0
53,모으기,0.6363075294117647,48,1.0,0.2916666666666667,6,1.0
54,평야,0.7872768000000001,12,1.0,0.5833333333333334,4,0.8
